Altium Designer Pick and Place Locations
C:\Work\6MS\Hardware\Master Board\ProjectOutputs\PCB Fab\Pick Place\Pick Place for Local Master(Three Resistor).txt

========================================================================================================================
File Design Information:

Date:       11-01-21
Time:       17:26
Revision:   aa3b334c2c4bd404bbbe23983af0b36f8c92ec99
Variant:    Three Resistor
Units used: mm

Designator Comment                                    Layer    Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                
Q14        "Tran N-MOSFET 60V 115mA SOT-23"           TopLayer SOT23-3N        99.4000      123.8000     180      "Tran N-MOSFET 60V 115mA SOT-23"           
L1         "Ind Bead 600R 1A 0603"                    TopLayer INDC1608N-0603  116.3000     127.8000     360      "Ind Bead 600R 1A 0603"                    
J6         "Conn Header 2.5mm Vert 8-Pos EH"          TopLayer B8B-EH          71.3000      121.3000     90       "Conn Header 2.5mm Vert 8-Pos EH"          
J5         "Conn Header 2.5mm Vert 4-Pos EH"          TopLayer B4B-EH          90.5500      102.7000     360      "Conn Header 2.5mm Vert 4-Pos EH"          
F10        "Fuse PTC 50mA 60V 1206"                   TopLayer RESC3216N-1206  82.7000      117.6000     270      "Fuse PTC 50mA 60V 1206"                   
F9         "Fuse PTC 50mA 60V 1206"                   TopLayer RESC3216N-1206  76.6000      118.7000     180      "Fuse PTC 50mA 60V 1206"                   
F8         "Fuse PTC 50mA 60V 1206"                   TopLayer RESC3216N-1206  76.6000      123.3000     180      "Fuse PTC 50mA 60V 1206"                   
D8         "LED Red 160° 0603"                        TopLayer CAPC1608N-0603  94.3000      129.3000     0        "LED Red 160° 0603"                        
D7         "Diode Zener 10V 0.5W SOD-123"             TopLayer SOD-123         80.4000      117.7000     90       "Diode Zener 10V 0.5W SOD-123"             
D6         "Diode Zener 10V 0.5W SOD-123"             TopLayer SOD-123         76.8000      116.4000     180      "Diode Zener 10V 0.5W SOD-123"             
D5         "Diode Zener 10V 0.5W SOD-123"             TopLayer SOD-123         76.7000      121.0000     180      "Diode Zener 10V 0.5W SOD-123"             
D4         "Diode Schottky 200mA 30V Series SOT-23"   TopLayer SOT23-3N        79.4000      130.4000     180      "Diode Schottky 200mA 30V Series SOT-23"   
D3         "Diode Schottky 200mA 30V Series SOT-23"   TopLayer SOT23-3N        79.4000      126.9000     180      "Diode Schottky 200mA 30V Series SOT-23"   
C29        "Cap Ceramic 1u 25V X5R 0603"              TopLayer CAPC1608N-0603  116.9000     118.9000     270      "Cap Ceramic 1u 25V X5R 0603"              
C28        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  101.7000     118.6000     90       "Cap Ceramic 0.1u 25V X7R 0603"            
C27        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  109.0000     127.1000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C26        "Cap Ceramic 10u 6.3V X5R 0603"            TopLayer CAPC1608N-0603  109.7000     111.4000     180      "Cap Ceramic 10u 6.3V X5R 0603"            
